Word(s),Spoken Form (If Different)

nmap,N map
under-documented,under documented
nmap
admin
Cisco
Citrix
VPN
DNS
Minecraft
http
https
usb
.com,dotcom
arknights
enter,inta
enter,inter
enter,enta
super,supa
